mortgage_size,danger,monthly_payment,loan_number,loan_margin
1350000,2,5658,7268,1.7074
875000,2,4478,7269,1.9101
960000,3,4364,7270,2.3977
800000,2,4903,7272,1.8987
1115715,2,6818,7271,1.6466
1350000,3,5311,7273,1.7569
1124998,2,5646,7274,2.1951
1248000,2,7014,7276,1.6559
1073579,2,4983,7277,1.8108
300000,3,1677,7278,3.606
1990000,3,7751,7279,1.8053
1100000,2,6015,7280,1.9053
820000,2,5143,7281,2.0398
1500000,3,6940,7282,1.7388
975000,1,7513,7283,1.6817
915000,3,4191,7284,2.0608
850000,3,2091,7286,2.0364
550000,2,3051,7287,1.8891
630000,2,4006,7288,1.8646
348402,1,2801,7289,1.6825
855000,3,3379,7290,2.1311
1300000,4,4982,7291,2.6459
900000,3,3906,7292,2.0954
1200000,2,5599,7293,1.8189
490000,2,2666,7294,1.8648
960018,4,2266,7295,2.5745
1342000,4,4922,7296,2.3352
1100000,3,4266,7297,2.228
900010,3,3966,7298,2.0271
910000,3,3779,7299,1.9163
1200000,3,5345,7300,1.805
867000,2,4055,7301,1.9272
1250000,2,6236,7302,1.8404
945000,2,5007,7303,1.9656
915000,2,4254,7304,2.2231
1200000,3,5199,7305,1.9717
292000,1,2583,7306,1.8725
1100000,3,4616,7307,2.2516
903000,3,4497,7308,2.0614
910000,3,3723,7309,2.009
1700000,3,6507,7310,2.0798
1105000,2,5214,7311,2.1651
634947,3,3572,7312,2.3048
945000,2,4971,7313,2.1513
945000,3,4771,7314,2.0879
150000,3,593,7315,1.7962
1785000,3,7671,7316,2.4206
1050000,2,4877,7317,1.8154
1080000,3,4424,7318,1.8603
600000,1,1512,7275,0
775000,1,5323,7319,1.867
775000,2,5537,7320,2.4535
775000,1,5217,7321,1.8774
1212682,2,10024,7322,1.622
900000,1,7729,7323,1.9531
1080000,3,4576,7324,1.7796
775000,1,5331,7234,1.8896
2156000,3,8953,7325,1.9894
775000,1,5306,7326,1.819
1248000,2,6957,7327,1.5579
1080000,2,5570,7328,1.9206
1413000,3,5154,7329,1.9856
1068000,2,5846,7331,1.6607
1125000,3,5846,7330,2.5767
900000,2,7781,7332,1.7016
1068000,2,5862,7333,1.6102
1341600,2,5957,7334,1.7753
1341600,2,5949,7335,1.7632
1413750,3,5107,7336,1.9094
1070000,2,4940,7337,1.7579
1785000,3,7582,7338,2.3191
1250000,2,5571,7339,1.8623
850000,2,1249,7340,1.6676
