Years,LTV,Interest_rate,Bank_name,loan_number
     30,3, 1.1,לאומי,6698
     20,3,1.05,פועלים,6700
     27,3,0.92,לאומי,6701
     19,2, 1.2,לאומי,6702
     30,3, 1.2,אגוד,6703
     30,3, 1.1,מזרחי-טפחות,6704
     25,2,0.95,פועלים,6705
     30,2,0.85,אגוד,6706
     30,2,   1,לאומי,6707
     30,2,   1,דיסקונט,6708
     30,3, 1.4,לאומי,6709
     30,3, 1.4,לאומי,6710
     25,3, 2.1,לאומי,6711
     30,3, 1.1,לאומי,6712
     30,2, 0.9,הבינלאומי,6713
     25,3, 1.3,לאומי,6714
     28,2,   1,דיסקונט,6715
     29,3, 1.1,אגוד,6716
     24,3,1.95,מזרחי-טפחות,6717
     30,2,0.91,פועלים,6718
     25,3, 1.1,לאומי,6719
     30,2, 1.1,פועלים,6720
     21,1,   1,מזרחי-טפחות,6722
     21,1, 0.9,פועלים,6723
     29,3, 1.1,אגוד,6724
     30,3,1.35,פועלים,6725
     30,3,0.95,מזרחי-טפחות,6726
     30,2, 1.7,דיסקונט,6727
22.6667,1, 0.8,פועלים,6728
     30,3,   1,לאומי,6729
     30,3, 1.1,פועלים,6730
     24,2,0.85,פועלים,6731
     30,1, 2.1,הבינלאומי,6734
     21,1,   1,לאומי,6735
     30,3, 1.1,הבינלאומי,6736
     25,3,1.05,דיסקונט,6737
     25,3, 1.1,לאומי,6738
     30,3, 2.2,לאומי,6738
     30,3,   1,לאומי,6739
     20,3, 0.9,לאומי,6741
     30,3,2.05,פועלים,6742
     30,2, 0.9,לאומי,6743
     30,1,0.95,דיסקונט,6744
     30,3,0.95,דיסקונט,6745
     30,2,   1,מזרחי-טפחות,6746
     30,3, 1.3,מזרחי-טפחות,6747
     30,3,1.85,מזרחי-טפחות,6748
     30,3, 0.9,לאומי,6749
     30,3,1.65,לאומי,6750
     30,2, 2.2,מזרחי-טפחות,6751
     30,2,   1,מזרחי-טפחות,6752
     20,2, 0.9,פועלים,6753
     20,1,0.92,דיסקונט,6754
     30,3, 1.3,לאומי,6755
     30,2, 1.1,לאומי,6756
     30,1, 0.9,דיסקונט,6757
     30,3, 2.1,פועלים,6758
     30,1,   1,מזרחי-טפחות,6759
     30,3,   1,לאומי,6760
     25,1, 0.8,לאומי,6761
     30,1, 1.8,לאומי,6761
     30,2, 1.6,מזרחי-טפחות,6762
     30,3, 1.1,פועלים,6763
     29,3,   1,לאומי,6764
     12,1, 1.6,אגוד,6765
     25,2,1.55,הבינלאומי,6766
     25,2, 0.9,פועלים,6767
     30,3,2.53,ירושלים,6768
     19,2,1.15,דיסקונט,6769
22.6667,1, 0.8,דיסקונט,6770
     30,2, 1.5,לאומי,6771
     30,2, 2.1,לאומי,6772
     30,2, 1.7,דיסקונט,6773
     27,3,   1,דיסקונט,6774
     30,1, 2.2,לאומי,6775
     30,3, 1.6,לאומי,6776
     25,1, 0.9,פועלים,6777
     30,3, 1.2,לאומי,6778
     25,1, 1.4,מזרחי-טפחות,6779
     25,2, 1.9,פועלים,6780
     30,1, 0.9,לאומי,6782
     30,1,2.91,לאומי,6782
     30,1, 1.2,הבינלאומי,6783
     30,1, 1.1,מזרחי-טפחות,6784
     30,1, 0.9,הבינלאומי,6785
22.6667,1, 0.8,פועלים,6786
     30,3,0.95,הבינלאומי,6787
     30,1,1.35,אגוד,6788
     19,3, 1.1,לאומי,6789
     28,3,1.25,לאומי,6789
     30,3, 1.7,אגוד,6790
     30,1,0.85,מזרחי-טפחות,6791
     30,1, 1.1,מזרחי-טפחות,6792
     19,2, 1.1,לאומי,6793
     25,3, 1.1,פועלים,6794
21.0833,2, 1.1,פועלים,6795
     25,1, 1.6,מזרחי-טפחות,6796
     30,3,0.95,הבינלאומי,6797
     26,2, 1.6,מזרחי-טפחות,6798
21.0833,2,   1,דיסקונט,6799
     29,3, 1.1,אגוד,6800
     30,3, 1.2,פועלים,6801
     25,1, 1.1,אגוד,6802
28.9167,3,   1,לאומי,6803
     25,3, 1.8,לאומי,6804
     20,3, 0.9,דיסקונט,6806
     30,2,   1,מזרחי-טפחות,6807
     20,3, 0.9,לאומי,6808
     19,2, 1.1,דיסקונט,6809
     30,2, 1.1,דיסקונט,6810
     20,2, 0.8,פועלים,6811
     30,2, 0.9,לאומי,6812
     20,3,0.88,לאומי,6813
     30,3,   2,פועלים,6814
     30,3, 1.6,פועלים,6815
     30,1,1.05,לאומי,6816
     25,3, 0.9,דיסקונט,6817
     20,3, 0.8,דיסקונט,6818
     18,1, 1.5,הבינלאומי,6820
     30,3, 0.9,פועלים,6821
     30,1,1.15,הבינלאומי,6822
     25,3, 1.1,לאומי,6823
     23,1, 1.1,מזרחי-טפחות,6824
     30,2, 1.4,דיסקונט,6825
     30,2, 1.3,לאומי,6826
28.9167,2,0.95,דיסקונט,6827
     29,2,0.95,לאומי,6828
     26,2, 1.6,דיסקונט,6829
     30,3,   1,מזרחי-טפחות,6830
     24,2, 0.9,פועלים,6831
     30,1, 1.3,הבינלאומי,6832
     30,3, 1.9,לאומי,6833
     25,2, 1.7,הבינלאומי,6834
   27.5,3, 1.5,אגוד,6835
     24,1,   1,לאומי,6836
     30,3,   1,מזרחי-טפחות,6837
     30,1, 0.9,דיסקונט,6838
     30,2,1.95,לאומי,6839
     25,1, 0.8,פועלים,6840
     30,3, 0.9,מזרחי-טפחות,6841
     24,1,   1,לאומי,6842
     20,3, 0.8,לאומי,6843
     30,2,   1,לאומי,6844
     30,3, 0.8,פועלים,6845
     30,2,   1,לאומי,6846
     25,1, 1.6,אגוד,6847
     25,1, 0.9,פועלים,6848
     26,2, 1.6,מזרחי-טפחות,6849
     27,3,1.05,פועלים,6850
29.3333,3,1.05,דיסקונט,6851
     30,2,0.98,דיסקונט,6852
     30,3, 1.5,הבינלאומי,6853
     21,1, 1.3,מזרחי-טפחות,6854
     30,1, 1.6,לאומי,6855
     12,3, 2.1,לאומי,6857
     12,3, 2.1,לאומי,6859
     30,2, 1.6,פועלים,6860
     25,2, 0.9,פועלים,6860
     30,2, 1.3,דיסקונט,6861
     30,1, 0.9,לאומי,6862
     15,1, 0.8,מזרחי-טפחות,6863
     21,1,0.92,דיסקונט,6864
     30,2, 1.4,הבינלאומי,6865
     25,3,1.62,פועלים,6866
     26,2, 1.7,אגוד,6867
     30,3, 1.1,מזרחי-טפחות,6868
23.9167,1,1.05,דיסקונט,6870
     30,3,0.95,דיסקונט,6871
     30,3, 1.1,לאומי,6872
     25,2, 1.1,הבינלאומי,6873
     25,2, 1.1,הבינלאומי,6874
     30,2,   1,מזרחי-טפחות,6875
     23,2,   1,לאומי,6876
     20,3, 0.9,מזרחי-טפחות,6877
     25,3,1.75,מזרחי-טפחות,6878
     30,1, 1.6,פועלים,6879
     30,1,0.85,פועלים,6880
23.9167,1, 1.1,פועלים,6881
     29,3,0.95,פועלים,6882
     19,2,0.85,פועלים,6883
     30,3, 1.3,דיסקונט,6884
   27.5,3,   2,דיסקונט,6885
     30,3, 1.1,מזרחי-טפחות,6886
     30,3, 1.1,לאומי,6887
     24,1,1.05,לאומי,6888
