Years,LTV,Interest_rate,Bank_name,loan_number
     19,3,3.15,לאומי,6776
     20,1,2.74,פועלים,6777
     30,3,   3,לאומי,6778
     20,1, 3.1,מזרחי-טפחות,6779
     23,2,2.85,פועלים,6780
     22,1,3.25,לאומי,6782
     19,1,3.25,מזרחי-טפחות,6784
     20,1,2.75,הבינלאומי,6785
     21,1,2.05,פועלים,6786
     12,3,2.65,הבינלאומי,6787
     20,1,2.75,אגוד,6788
     22,3,3.14,לאומי,6789
     30,3, 3.2,אגוד,6790
     19,1,2.86,מזרחי-טפחות,6791
     29,1,3.15,מזרחי-טפחות,6792
     19,2,2.68,לאומי,6793
     18,2,2.64,לאומי,6793
15.8333,3,2.74,פועלים,6794
     15,2,0.74,פועלים,6795
     21,2,3.23,פועלים,6795
  19.75,1, 2.8,מזרחי-טפחות,6796
     25,3, 2.9,הבינלאומי,6797
     20,2,   3,מזרחי-טפחות,6798
     15,2,0.74,דיסקונט,6799
     21,2, 3.5,דיסקונט,6799
     30,3,3.15,פועלים,6801
     14,1,2.26,אגוד,6802
24.6667,3,3.15,לאומי,6803
     25,3, 3.1,לאומי,6804
     20,3,2.65,דיסקונט,6806
   9.25,2,2.35,מזרחי-טפחות,6807
     14,3,2.69,לאומי,6808
     19,2, 2.6,דיסקונט,6809
     18,2,2.58,דיסקונט,6809
     28,2,3.45,דיסקונט,6810
     13,2,1.89,פועלים,6811
     25,2,2.75,לאומי,6812
     18,3, 2.8,לאומי,6813
     30,3,3.45,פועלים,6815
     29,1,3.15,לאומי,6816
     20,3,2.77,דיסקונט,6817
     18,3,2.75,דיסקונט,6818
     17,1, 2.6,הבינלאומי,6820
     25,3, 2.8,פועלים,6821
     29,1, 3.1,הבינלאומי,6822
     23,1,3.21,מזרחי-טפחות,6824
     25,2, 2.5,דיסקונט,6825
     25,2, 2.7,לאומי,6826
24.6667,2,3.05,דיסקונט,6827
     25,2, 3.1,לאומי,6828
     27,2, 3.4,דיסקונט,6829
     20,2,2.78,פועלים,6831
     30,1,3.35,הבינלאומי,6832
     23,3,   3,לאומי,6833
     23,2, 2.9,הבינלאומי,6834
     23,3,3.35,אגוד,6835
     18,1,2.75,לאומי,6836
     21,3,2.85,מזרחי-טפחות,6837
     20,1,2.65,דיסקונט,6838
     25,2,2.95,לאומי,6839
     15,1,1.66,פועלים,6840
     30,3, 3.6,מזרחי-טפחות,6841
     23,1, 3.2,לאומי,6842
     18,3,2.72,לאומי,6843
     28,2, 3.1,לאומי,6844
     30,3,3.15,פועלים,6845
     13,2,2.93,לאומי,6846
     20,1,2.47,אגוד,6847
     25,1,2.63,פועלים,6848
     15,2,2.88,מזרחי-טפחות,6849
     24,3,2.76,פועלים,6850
     28,3, 3.6,דיסקונט,6851
     28,2,3.05,דיסקונט,6852
     20,3, 2.6,הבינלאומי,6853
     21,1, 3.5,מזרחי-טפחות,6854
     12,3,2.45,לאומי,6857
     12,3,2.49,לאומי,6858
     12,3,2.42,לאומי,6859
     19,2, 2.3,פועלים,6860
     30,2,2.85,פועלים,6860
     25,2, 2.5,דיסקונט,6861
     19,1,2.86,לאומי,6862
     21,1,3.15,דיסקונט,6864
      6,2,2.25,הבינלאומי,6865
     15,3,2.59,פועלים,6866
     27,2, 2.9,אגוד,6867
20.4167,1,   3,דיסקונט,6870
     18,3,2.85,דיסקונט,6871
     25,3,3.45,לאומי,6872
     12,2,2.39,הבינלאומי,6873
     10,2, 2.2,הבינלאומי,6874
19.6667,2,2.77,מזרחי-טפחות,6875
     23,2, 2.8,לאומי,6876
     20,3,2.85,מזרחי-טפחות,6877
   9.25,3, 2.4,מזרחי-טפחות,6878
     20,3,3.15,מזרחי-טפחות,6878
     30,1,2.95,פועלים,6879
     19,1,2.84,פועלים,6880
20.4167,1, 3.3,פועלים,6881
     29,3, 3.4,פועלים,6882
     19,2, 2.4,פועלים,6883
     18,2, 2.6,פועלים,6883
     24,3, 3.2,דיסקונט,6884
   27.5,3, 3.4,דיסקונט,6885
     21,3, 2.9,מזרחי-טפחות,6886
     22,3,   3,מזרחי-טפחות,6886
     21,3,3.05,לאומי,6887
     22,3,3.15,לאומי,6887
     17,1,2.75,לאומי,6888
